bmi,bmi.papa,bmi.mama,edad.papa,edad.mama,edad
22.70000076,25.20000076,27.89999962,44.79999924,41,18
36.70000076,39.70000076,25.70000076,46.70000076,49.59999847,24.20000076
25.20000076,23.5,38.70000076,51.20000076,45.09999847,26.5
26.60000038,23.5,38.70000076,51.20000076,45.09999847,25.5
19.79999924,21.29999924,27.20000076,45.20000076,39.5,19.29999924
23.29999924,27.70000076,26.20000076,73.59999847,61.5,39.90000153
25.29999924,27.70000076,26.20000076,73.59999847,61.5,34.09999847
23.89999962,39.79999924,24.29999924,49.90000153,43.29999924,20.20000076
24.89999962,29.79999924,33.79999924,45,38.40000153,18.89999962
24.20000076,24,31.39999962,71.90000153,67,47.79999924
24.5,24,31.39999962,71.90000153,67,41.59999847
20.20000076,23,17.79999924,52.70000076,51,19.79999924
18.79999924,23,17.79999924,52.70000076,51,22.29999924
24,23,17.79999924,52.70000076,51,29.29999924
25.20000076,30,26.60000038,55.09999847,51.09999847,26.70000076
27.39999962,22.29999924,32.79999924,69,63.40000153,40.09999847
26.79999924,25.29999924,25,83.40000153,85.90000153,53.09999847
21.79999924,25.5,21.10000038,78.59999847,72.69999695,51.59999847
26.89999962,25.5,21.10000038,78.59999847,72.69999695,41.59999847
29.89999962,27.10000038,25.79999924,77.09999847,75.30000305,29.20000076
26.60000038,27.10000038,25.79999924,77.09999847,75.30000305,44.5
23.10000038,22,25.79999924,69.90000153,63.90000153,30.10000038
24.5,21.10000038,38.79999924,58.5,53.20000076,31.39999962
23.70000076,29.5,19,59.29999924,57.20000076,18.70000076
22.5,29.5,19,59.29999924,57.20000076,19.70000076
30.79999924,40.59999847,26.89999962,51.09999847,54.09999847,21.89999962
25.60000038,18.79999924,31.39999962,58.09999847,54.20000076,30.60000038
22.29999924,18.79999924,31.39999962,58.09999847,54.20000076,29.20000076
30.79999924,31.29999924,29.5,41.79999924,37.59999847,18.89999962
28.79999924,20.39999962,30.39999962,76.80000305,67,43.40000153
20.20000076,26.10000038,32.5,66.80000305,59.09999847,21.39999962
29.29999924,26.89999962,30.89999962,67.09999847,59.40000153,40.70000076
22.10000038,22.29999924,23.89999962,65.90000153,60.40000153,30.5
25,30.5,23.79999924,44.5,48,18.20000076
15.80000019,26.70000076,27,52.5,44.90000153,18.29999924
20.39999962,20.20000076,28.70000076,57.90000153,46.09999847,22.10000038
15.60000038,20.20000076,28.70000076,57.90000153,46.09999847,18.89999962
26.10000038,36,23.79999924,51.59999847,47.59999847,29.79999924
25.29999924,30.39999962,30.10000038,55.09999847,49.90000153,33.90000153
27.79999924,22.5,23.39999962,68.59999847,58.90000153,29.29999924
20.39999962,22.60000038,29.60000038,48.70000076,43.59999847,18
27.20000076,23.60000038,30.79999924,86.09999847,75.80000305,34.20000076
23.29999924,27.79999924,32.5,60.5,54.5,18.39999962
21.39999962,27.79999924,32.5,60.5,54.5,30.29999924
29.39999962,27.79999924,32.5,60.5,54.5,32.79999924
24.70000076,27.79999924,32.5,60.5,54.5,26.70000076
29.20000076,25.5,29.79999924,56.59999847,61.70000076,23.79999924
29.5,25.5,29.79999924,56.59999847,61.70000076,29.70000076
22.5,25.5,29.79999924,56.59999847,61.70000076,28.39999962
24.29999924,30.10000038,27.79999924,56.70000076,49.79999924,31
20.5,30.10000038,27.79999924,56.70000076,49.79999924,27
29.79999924,30.10000038,27.79999924,56.70000076,49.79999924,28.5
29.79999924,20.70000076,29.5,68.5,58.40000153,32.90000153
26.79999924,20,25.10000038,76.59999847,77.30000305,48.79999924
23,29.39999962,30.10000038,59.20000076,55.20000076,34.70000076
22.89999962,29.39999962,30.10000038,59.20000076,55.20000076,25.29999924
24.29999924,27.29999924,29.79999924,58.20000076,51.20000076,18.10000038
31.60000038,27.29999924,29.79999924,58.20000076,51.20000076,25.89999962
